"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
81;"U6,U7,U8";"SO16-JRL";3;"LM13700";;;
82;"VR3";"TC33X-2";1;"100";;;
83;"VR7,VR16,VR25";"TC33X-2";3;"100K";;;
84;"VR14,VR24";"TC33X-2";2;"22K";;;
85;"VR23";"TC33X-2";1;"100K(B)";;;
86;"VR27,VR28";"TC33X-2";2;"10K";;;
87;"P3";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"CONN_01X03";;;
88;"Q14,Q7,Q12,Q13";"SOT416-SC75";4;"2SA1832";;;
89;"Q11,Q15";"SOT416-SC75";2;"2SC4738";;;
90;"Q8,Q1";"SOT23-132-JRL";2;"PMBT2369";;;
91;"P1";"Pin_Header_Straight_1x08_Pitch2.54mm";1;"CONN_01X08";;;
92;"TP1,TP2,TP3,TP4,TP6,TP7,TP8,TP10";"TEST_POINT_5000_SERIES";8;"TEST_POINT";;;
93;"Q3";"SOT753_TSOP5_SC-74A";1;"2SA1618";;;
94;"U11";"TSSOP-8_4.4x3mm_Pitch0.65mm";1;"TL072-";;;
95;"P5";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"CONN_01X02";;;
96;"C20";"SM0603-C-MURATA";1;"47p";;;
97;"P6";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"CONN_02X03";;;
98;"R149";"SM0603-R-YAGEO";1;"120K";;;
99;"U20";"TSSOP-14_4.4x5mm_Pitch0.65mm";1;"CD4013";;;
100;"Q2,Q10,Q9,Q5";"SOT23-132-JRL";4;"2SK208-GR";;;
101;"VR11";"TT-BI-67W";1;"100K";;;
102;"VR12";"TT-BI-67W";1;"10K";;;
103;"VR13";"TT-BI-67W";1;"20K";;;
104;"G***";"Logo_silk_ROHS_5x2.8mm";1;"LOGO";;;
105;"G***";"Logo_silk_WEEE_3.4x5mm";1;"LOGO";;;
106;"G***";"Logo_silk_Lead-Free_5x5mm";1;"LOGO";;;
107;"VR26,VR8";"RD901F-40-ALPHA-POT-T18";2;"100K";;;
108;"VR22,VR21,VR20,VR2,VR1";"RD901F-40-ALPHA-POT-T18";5;"50K(A)";;;
109;"VR19,VR18,VR17";"RD901F-40-ALPHA-POT-T18";3;"50K(B)";;;
110;"VR15,VR6,VR5,VR4";"RD901F-40-ALPHA-POT-T18";4;"50K";;;
111;"VR10,VR9";"RD901F-40-ALPHA-POT-T18";2;"100K(A)";;;
112;"U1";"MSOP-8_3x3mm_Pitch0.65mm";1;"OPA2180";;;
113;"Q4";"SOT753_TSOP5_SC-74A";1;"2SC4207";;;
114;"TC1";"SM0603-R-YAGEO";1;"1K 3300ppm/°C";;;
